date,upper_vel_spikes,lower_vel_spikes,upper_vel_flip_rate,lower_vel_flip_rate,upper_vel_deriv_std,lower_vel_deriv_std,upper_err_spikes,lower_err_spikes,upper_err_flip_rate,lower_err_flip_rate,upper_err_deriv_std,lower_err_deriv_std,upper_cur_spikes,lower_cur_spikes,upper_cur_flip_rate,lower_cur_flip_rate,upper_cur_deriv_std,lower_cur_deriv_std,upper_vel_spikes_norm,lower_vel_spikes_norm,upper_vel_flip_rate_norm,lower_vel_flip_rate_norm,upper_err_spikes_norm,lower_err_spikes_norm,upper_err_flip_rate_norm,lower_err_flip_rate_norm,upper_cur_spikes_norm,lower_cur_spikes_norm,upper_cur_flip_rate_norm,lower_cur_flip_rate_norm,upper_vel_deriv_std_norm,lower_vel_deriv_std_norm,upper_err_deriv_std_norm,lower_err_deriv_std_norm,upper_cur_deriv_std_norm,lower_cur_deriv_std_norm,oscillation_score
2021-03-03,12,17,5701,5798,0.1751792550832438,0.2109523791820461,112,93,126,118,0.0003937172867956665,0.0009868201126381182,100,68,108,110,0.047904179905544596,0.11832006375658113,0.035211267605633804,0.053497942386831275,0.098715111651462,0.10020548244655271,0.32,0.27886056971514245,0.03972257250945776,0.036950054798810084,0.09380863039399624,0.07476635514018691,0.019398293668612482,0.02178649237472767,0.618268899438246,0.5275907416487802,0.0001131943893159764,0.023276640401829973,0.013113995208193048,0.019176399387913417,0.07919064031857516
2021-03-04,6,8,1045,1044,0.30051953157132405,0.34112803813203313,36,31,61,61,0.0007136756866305707,0.0015753286141907787,25,25,56,52,0.09765289125343689,0.20241507286181534,0.014084507042253521,0.01646090534979424,0.017265960517454014,0.017068158964718225,0.10285714285714286,0.09295352323838081,0.019230769230769232,0.01910129951463911,0.02345215759849906,0.02748763056624519,0.010058374494836103,0.010299069122598535,1.0,0.856456742345047,0.00020518297323260116,0.037158097202948624,0.026732939599192363,0.0328058670363577,0.0643742044377876
2021-03-04,6,9,4704,4627,0.14595177963219452,0.16486167018980255,61,48,62,59,0.00033124340132796256,0.000805780246684412,54,49,58,54,0.045642159956614595,0.0964506819908448,0.014084507042253521,0.0205761316872428,0.08127421739016348,0.07972718926244918,0.1742857142857143,0.14392803598200898,0.019546027742749054,0.018475027399405042,0.05065666041275797,0.05387575590984057,0.010417602155365963,0.0106951871657754,0.5144574896548721,0.4111506386541173,9.523304103160933e-05,0.019006358711953983,0.012494756577459873,0.01563197939867736,0.05919424081054778
2021-03-05,16,16,5662,5709,0.19370837638569818,0.21729788123428181,103,83,118,123,0.0004278716029254002,0.0011945508897493538,83,72,104,108,0.06712820900885148,0.12258909327373142,0.04929577464788732,0.04938271604938271,0.09803287005046839,0.09864906221308967,0.29428571428571426,0.24887556221889057,0.03720050441361917,0.03851573508689526,0.07786116322701689,0.07916437603078615,0.01867983834755276,0.0213903743315508,0.6840814328428675,0.5436215411020824,0.0001230138132693281,0.028176494526493616,0.018376663852975563,0.019868290622759983,0.08170284217264485
2021-03-06,6,13,5794,5701,0.13228481679915927,0.1844830489896752,89,66,99,96,0.0003617103527056657,0.0010388370679797444,64,70,85,99,0.053353223703315286,0.11781382894613167,0.014084507042253521,0.037037037037037035,0.10034199546921603,0.09850915927075592,0.2542857142857143,0.19790104947526238,0.03121059268600252,0.030061061531235323,0.0600375234521576,0.07696536558548653,0.015267175572519083,0.0196078431372549,0.46591458072212577,0.460720615300364,0.00010399234134983099,0.02450359144263136,0.014605696650407446,0.0190943527712955,0.06804436040646065
2021-03-07,2,9,5775,5765,0.07501195720477839,0.15251407723481233,83,65,84,79,0.00023747576374308677,0.0008361427092539175,68,57,82,72,0.03510801499989932,0.09826328150790617,0.0,0.0205761316872428,0.10000962135591145,0.09962838280942596,0.23714285714285716,0.19490254872563717,0.02648171500630517,0.024737748551745733,0.06378986866791744,0.06267179769103903,0.014728334081724293,0.0142602495543672,0.262490364122383,0.37995660786458896,6.827468581077214e-05,0.01972253394378529,0.00961098470708942,0.015925751487416404,0.05561304514705405
2021-03-08,68,8,5750,5719,0.005139054397405225,0.1532102715926333,72,60,76,77,0.00019204576613611677,0.0008168476562616627,63,68,70,72,0.030176701615747883,0.0852956154475647,0.2323943661971831,0.01646090534979424,0.09957228699630015,0.09882394089100686,0.2057142857142857,0.17991004497751126,0.02395964691046658,0.024111476436511663,0.05909943714821764,0.07476635514018691,0.012572968118545127,0.0142602495543672,0.014312769781792535,0.3817154209638325,5.521348426282975e-05,0.01926741147082079,0.008261014407683977,0.01382405262412141,0.0420949538085429
2021-03-09,2,8,5707,5771,0.0601196941875043,0.15258491503371327,61,69,82,80,0.00019378382092461097,0.0009089152238974002,66,61,84,84,0.025383880677674032,0.10200072757600441,0.0,0.01646090534979424,0.09882007189776872,0.09973331001617627,0.1742857142857143,0.20689655172413793,0.025851197982345524,0.025050884609362768,0.06191369606003752,0.06706981858163827,0.015087561742254153,0.016636957813428402,0.2095953810686029,0.3801355671555239,5.5713177969404066e-05,0.021439057181201746,0.006948957068646784,0.01653148779465916,0.05278372200428609
2021-03-10,64,8,5808,5702,0.003805840742316828,0.15060109298642954,44,67,80,79,0.00021907145867400626,0.0008772541494844481,66,64,70,82,0.02284016589817328,0.09689339600625718,0.21830985915492956,0.01646090534979424,0.10058690271059836,0.09852664713854763,0.12571428571428572,0.20089955022488756,0.025220680958385876,0.024737748551745733,0.06191369606003752,0.07036833424958769,0.012572968118545127,0.016240839770251536,0.009577403933689405,0.3751237882404355,6.298341681409057e-05,0.02069225091488467,0.006252603149319555,0.015703731056888433,0.04254038511706573
2021-03-11,54,9,5738,5730,0.004069313237723739,0.14726875675758563,50,62,84,74,0.00015759234825573435,0.0006858145458799982,75,63,83,66,0.020611622707992532,0.09271836308953213,0.18309859154929578,0.0205761316872428,0.09936236650368672,0.09901630743671577,0.14285714285714285,0.18590704647676162,0.02648171500630517,0.02317206826366056,0.07035647279549719,0.06926882902693787,0.014907947911989223,0.013071895424836602,0.01051321692352986,0.36670522445213,4.5308068047661026e-05,0.016176665191913332,0.0056425289392003876,0.015027074062910508,0.04254492425095631
2021-03-12,55,8,5808,5742,0.0044106277664259135,0.15225158888051074,50,58,87,83,0.00023567318465466059,0.0009395015721021457,73,63,86,77,0.022413738421900548,0.09918617742362054,0.18661971830985916,0.01646090534979424,0.10058690271059836,0.09922616185021642,0.14285714285714285,0.17391304347826086,0.02742749054224464,0.02599029278221387,0.06848030018761726,0.06926882902693787,0.015446789402784015,0.015250544662309368,0.01172551260960317,0.3792934770150522,6.775644125826905e-05,0.02216051332021753,0.006135866616275697,0.01607532730838302,0.043695670728034416
