day_index,moving_samples,is_operational
695,8640,True
696,8640,True
697,8640,True
698,8640,True
699,8640,True
700,8640,True
701,8640,True
702,8640,True
703,8640,True
704,8640,True
705,8640,True
706,8640,True
707,8640,True
708,8640,True
709,8640,True
710,8640,True
711,8640,True
712,8640,True
713,8640,True
714,8640,True
715,8640,True
716,8640,True
717,8640,True
718,8640,True
719,8640,True
720,8640,True
721,8640,True
722,8640,True
723,8640,True
724,8640,True
725,8640,True
726,8640,True
727,8640,True
728,8640,True
729,8640,True
730,8640,True
731,8640,True
732,8640,True
733,8640,True
734,8640,True
735,8640,True
736,8640,True
737,8640,True
738,8640,True
739,8640,True
740,8640,True
741,8640,True
742,8640,True
743,8640,True
744,8640,True
745,8640,True
746,8640,True
747,8640,True
748,8640,True
749,8640,True
750,8640,True
751,8640,True
752,8640,True
753,8640,True
754,8640,True
755,8640,True
756,8640,True
757,8640,True
758,8640,True
759,8640,True
760,8640,True
761,8640,True
762,8640,True
763,8640,True
764,2432,True
765,8640,True
766,8640,True
767,8640,True
768,8640,True
769,8640,True
770,8640,True
771,8640,True
772,8640,True
773,8640,True
774,8640,True
775,8640,True
776,8640,True
777,8640,True
778,8640,True
779,8640,True
780,8640,True
781,8640,True
782,8640,True
783,8640,True
784,8640,True
785,8639,True
786,8640,True
787,8640,True
788,8640,True
789,8640,True
790,8640,True
791,8640,True
792,8640,True
793,8640,True
794,8640,True
795,8640,True
796,8640,True
797,8640,True
798,8640,True
799,8640,True
800,8640,True
801,8632,True
802,8640,True
803,8640,True
804,8640,True
805,8640,True
806,8640,True
807,8640,True
808,8640,True
809,8640,True
810,8640,True
811,8640,True
812,8640,True
813,8639,True
814,8640,True
815,8640,True
816,8640,True
817,8640,True
818,8640,True
819,8640,True
820,8640,True
821,8640,True
822,8640,True
823,8640,True
824,8640,True
825,8640,True
826,8640,True
827,8640,True
828,8640,True
829,8640,True
830,8640,True
831,8640,True
832,8640,True
833,8640,True
834,8640,True
835,8640,True
836,8629,True
837,8640,True
838,8640,True
839,8640,True
840,8640,True
841,8640,True
842,8640,True
843,8640,True
844,8640,True
845,8639,True
846,8640,True
847,8640,True
848,8640,True
849,8640,True
850,8640,True
851,8640,True
852,8640,True
853,8640,True
854,8640,True
855,8640,True
856,8640,True
857,8640,True
858,8640,True
859,8640,True
860,8640,True
861,8640,True
862,8639,True
863,8640,True
864,8640,True
865,8640,True
866,8640,True
867,8640,True
868,8640,True
869,8640,True
870,8640,True
871,8640,True
872,8640,True
873,8640,True
874,8640,True
875,8640,True
876,8640,True
877,8640,True
878,8640,True
879,8640,True
880,8640,True
881,8320,True
882,8640,True
883,8458,True
884,8640,True
885,8639,True
886,6405,True
887,8640,True
888,8114,True
889,8640,True
890,8638,True
891,8640,True
892,8502,True
893,8639,True
894,8553,True
895,8640,True
896,8640,True
897,8640,True
898,6996,True
899,8640,True
900,8591,True
901,8640,True
902,8115,True
903,8640,True
904,7580,True
905,8640,True
906,8639,True
907,8629,True
908,8640,True
909,8639,True
910,8640,True
911,8639,True
912,8640,True
913,5783,True
914,8640,True
915,8481,True
916,8640,True
917,8639,True
918,8640,True
919,8638,True
920,8640,True
921,8638,True
922,8640,True
923,6461,True
924,7966,True
925,8640,True
926,6024,True
927,8640,True
928,8561,True
929,8640,True
930,8638,True
931,7958,True
932,8443,True
933,8640,True
934,7868,True
935,8640,True
936,8114,True
937,8640,True
938,8640,True
939,8640,True
940,8640,True
941,8640,True
942,8640,True
943,8640,True
944,8640,True
945,8640,True
946,6079,True
947,8640,True
948,8436,True
949,8640,True
950,7868,True
951,8640,True
952,8410,True
953,8640,True
954,8537,True
955,8371,True
956,8640,True
957,7395,True
958,8373,True
959,7621,True
960,8626,True
961,6984,True
962,8640,True
963,8585,True
964,8640,True
965,5937,True
966,8640,True
967,6414,True
968,8423,True
969,8332,True
970,8640,True
971,6654,True
972,8640,True
973,8291,True
974,8640,True
975,8117,True
976,8640,True
977,7687,True
978,8471,True
979,8286,True
980,8640,True
981,7250,True
982,8640,True
983,7684,True
984,8619,True
985,7807,True
986,8640,True
987,7864,True
988,8518,True
989,7777,True
990,8640,True
991,5712,True
992,8640,True
993,7589,True
994,8640,True
995,5650,True
996,8640,True
997,6554,True
