date,total_rows,active_rows,active_ratio,upper_error_std,lower_error_std,upper_vel_std,lower_vel_std,upper_error_spikes,lower_error_spikes,upper_current_spikes,lower_current_spikes,is_operational_day,oscillation_score
2023-12-31,17280,14440,0.8356481481481481,49.406773856997596,0.4971036653273078,0.018467393964417357,0.07870363670293953,6626,0,0,6332,True,0.6098583018968706
2024-02-06,17280,14202,0.821875,60.85338695768429,0.4976201589252688,0.014707847286947552,0.03773830217925566,0,0,6241,6329,True,0.6090349478225184
2024-01-25,17280,14064,0.8138888888888889,60.70999799047487,0.49737221389123415,0.016642069518764218,0.030262652781937068,0,0,6242,6263,True,0.6075158969022805
2023-12-11,17279,14792,0.8560680594941837,57.249196449091095,0.49865062616655137,0.015934618849370762,0.059649501054832424,6152,0,0,930,True,0.6069104466454436
2024-02-11,17280,13749,0.7956597222222223,61.13051359654328,0.49534874568159853,0.017070195677044386,0.031406552851829146,0,0,5932,5814,True,0.6058051141672266
2024-02-24,17280,15756,0.9118055555555555,56.69488491382278,0.4999287405794834,0.011326122500760035,0.056133311854028874,7542,0,627,364,True,0.6003330372409723
2024-02-12,17280,14566,0.8429398148148148,57.970622058422386,0.4984228952703833,0.016415359863639886,0.050162547771970524,0,0,6694,6583,True,0.6000369644823221
2024-01-28,17280,15191,0.8791087962962963,57.85105854090985,0.4993251387763343,0.016812019932606982,0.043709391290189366,0,0,7127,7101,True,0.5995703921825873
2024-01-21,17280,14845,0.8590856481481481,57.739729530528734,0.4987261299928517,0.013119789653470845,0.05352376736239629,0,0,6885,6748,True,0.5988974595414052
2024-02-09,17280,13148,0.7608796296296296,64.09847049646083,0.48866266589640983,0.01495932141503739,0.05188193555045589,0,0,5170,5132,True,0.5962068376696107
2024-01-27,17280,15071,0.8721643518518518,56.84208733599552,0.4997740822266649,0.016203527342817256,0.052319508146126605,0,0,7151,7232,True,0.5955747475140047
2024-02-14,17280,14760,0.8541666666666666,57.40446933697986,0.49837232128501324,0.0165826315450157,0.041876610255273214,0,0,6761,6586,True,0.5953962926899489
2023-08-11,17280,15402,0.8913194444444444,60.53406579156808,0.49958948099021283,0.012940242593803483,0.01934313874211909,0,0,7263,4633,True,0.5953666389349431
2024-03-04,8640,8640,1.0,64.8140874791253,0.28256636388643286,0.02381564087707752,0.09645390367686842,3817,0,927,2152,True,0.5945572669881624
2024-01-30,17278,13840,0.8010186364162519,57.281098867534354,0.4963729583716929,0.020042135540234485,0.06680574540096189,0,0,5726,6053,True,0.5945335485321088
2024-03-02,8640,8640,1.0,72.61289085905382,0.28475042674967505,0.022840286455000715,0.06806880491751084,3914,0,1613,2279,True,0.5939326453013095
2024-02-15,17280,15123,0.8751736111111111,55.8299984614308,0.4996870264670642,0.019139944386230227,0.059620527426116926,0,0,7277,7051,True,0.5932581281267257
2024-02-07,17280,13556,0.7844907407407408,59.72329911455475,0.49131264606929287,0.01301597981195718,0.05267947530772654,0,0,5471,5444,True,0.5927899248292144
2024-01-22,17280,14232,0.8236111111111111,57.48607389731454,0.49669363680967216,0.01474341727923446,0.047517343224343055,0,0,6330,6206,True,0.5924713215832054
2024-02-13,17280,15284,0.8844907407407407,57.08522126879228,0.49966427179069517,0.01618213021971918,0.032319978331401523,0,0,7329,7170,True,0.5921969903998772
2024-02-08,17280,12899,0.7464699074074074,63.595176053905526,0.486409319540581,0.014373966556968579,0.050074254296050835,0,0,4942,4896,True,0.5911341485095363
2023-12-24,17280,15225,0.8810763888888888,60.312516212212316,0.49944213960484357,0.013571192156218641,0.02188071457279038,0,0,4719,7106,True,0.5909538418977598
2024-03-01,8640,8640,1.0,74.5182269843619,0.27932897802073037,0.023313501323370817,0.057651750371490264,3373,0,1516,2227,True,0.5889698863511094
2023-09-20,17279,14771,0.8548527113837606,54.814553874483785,0.49898435772121913,0.016518192747985126,0.032003803879196525,2607,0,770,0,True,0.5847307145712957
2024-02-28,8640,8640,1.0,74.31506840577865,0.28018622172460084,0.02139132610034409,0.052213204554379056,3309,0,1271,2146,True,0.5843368613368263
2023-11-26,17280,14773,0.8549189814814815,59.067967147363305,0.4987808708161151,0.01530778974248112,0.03487697472989666,0,0,4161,6831,True,0.5836866817887583
2024-02-16,17280,15757,0.911863425925926,51.81181764313649,0.49999738100645363,0.016883474865641762,0.08290095694612194,6425,0,0,253,True,0.5765491185151855
2023-11-23,17280,14093,0.8155671296296296,60.377308638912396,0.49600934164690436,0.014773042032833882,0.028838128891932182,1459,0,342,979,True,0.5749330319929711
2025-05-14,8640,7496,0.8675925925925926,70.73131716608928,0.3056781998459623,0.02151705824617253,0.06837819663401405,2761,0,771,0,True,0.5744595706149214
2024-02-29,8640,8640,1.0,78.64972829965485,0.24984552411939764,0.02009587355964548,0.040830497585524116,4047,0,2397,1416,True,0.5738949786714291
2024-01-18,17280,15832,0.9162037037037037,53.640728104764044,0.49999942549848375,0.016445372316173306,0.03585675728694501,0,0,7745,7839,True,0.5734716231401017
2024-02-27,17280,15974,0.9244212962962963,56.68534896985979,0.4997779642051804,0.01568968425691058,0.04555353775245644,1664,0,855,1106,True,0.5720650383883753
2023-08-05,8640,8640,1.0,69.73261228822538,0.2777762345636146,0.021565458770240385,0.09281623473311242,4069,0,724,0,True,0.5715823498628668
2024-01-11,17280,14634,0.846875,45.82181101783994,0.49410781388287056,0.008838800648732657,0.027355175806678744,7197,0,0,6150,True,0.5705062050296651
2024-01-19,17280,15295,0.8851273148148148,53.65730053512979,0.49970085460157776,0.01636107824679597,0.020297148750569708,0,0,7158,7333,True,0.5698153996580234
2024-02-25,17280,15286,0.8846064814814815,59.165184537520965,0.49969936840593965,0.014786264782538116,0.03882006302546249,0,0,1850,7209,True,0.5682985442159636
2025-05-19,8640,8640,1.0,75.60298817787184,0.28690997411661967,0.02065554603558593,0.06708210768979521,4017,0,773,0,True,0.5680202831596604
2025-05-09,8640,8640,1.0,74.47801712051536,0.2973584612976659,0.02132249981093019,0.04978327089942321,3937,0,837,0,True,0.5679040123132134
