axis,error_code,start_time,end_time,duration_sec,log_entries
Upper/X east,7490.0,2025-04-18 06:39:46.684,2025-04-18 06:40:34.661,47.977,3
Upper/X east,7490.0,2025-04-18 18:28:41.751,2025-04-18 18:29:03.134,21.383,2
Upper/X east,7490.0,2025-04-19 06:44:28.277,2025-04-19 06:44:51.581,23.304,2
Upper/X east,7490.0,2025-04-19 21:33:18.105,2025-04-19 21:33:29.073,10.968,2
Upper/X east,7490.0,2025-04-20 19:55:59.090,2025-04-20 19:57:34.788,95.698,9
Upper/X east,7490.0,2025-04-20 20:00:57.124,2025-04-20 20:03:31.487,154.363,10
Upper/X east,7490.0,2025-04-21 13:38:45.515,2025-04-21 13:39:22.772,37.257,3
Upper/X east,7490.0,2025-04-23 06:01:51.232,2025-04-23 06:02:15.361,24.129,3
Upper/X east,7490.0,2025-04-23 06:38:30.386,2025-04-23 06:38:54.518,24.132,3
Upper/X east,7490.0,2025-04-23 17:24:42.533,2025-04-23 17:24:54.873,12.34,2
Upper/X east,7490.0,2025-04-23 18:26:27.832,2025-04-23 18:27:18.558,50.726,5
Upper/X east,7490.0,2025-04-23 19:02:47.029,2025-04-23 19:02:58.821,11.792,2
Upper/X east,7490.0,2025-04-25 06:27:54.604,2025-04-25 06:28:06.940,12.336,2
Upper/X east,7490.0,2025-04-26 06:22:39.857,2025-04-26 06:23:03.710,23.853,2
Upper/X east,7490.0,2025-04-26 06:57:10.724,2025-04-26 06:57:34.847,24.123,2
Upper/X east,7490.0,2025-04-26 15:59:37.336,2025-04-26 15:59:49.395,12.059,2
Upper/X east,7490.0,2025-04-26 17:41:40.871,2025-04-26 17:41:53.763,12.892,2
Upper/X east,7490.0,2025-04-27 06:18:04.793,2025-04-27 06:18:16.854,12.061,2
Upper/X east,7490.0,2025-04-28 14:17:56.745,2025-04-28 14:18:32.659,35.914,3
Upper/X east,7490.0,2025-04-29 05:37:53.751,2025-04-29 05:38:41.742,47.991,3
Upper/X east,7490.0,2025-04-30 08:26:48.249,2025-04-30 08:26:59.766,11.517,2
Upper/X east,7490.0,2025-04-30 16:26:12.898,2025-04-30 16:26:48.509,35.611,4
Upper/X east,7490.0,2025-05-01 06:25:22.722,2025-05-01 06:25:34.794,12.072,2
Upper/X east,7490.0,2025-05-01 17:12:38.423,2025-05-01 17:12:49.938,11.515,2
Upper/X east,7490.0,2025-05-02 06:25:00.141,2025-05-02 06:25:11.929,11.788,2
Upper/X east,7490.0,2025-05-02 06:28:26.062,2025-05-02 06:28:41.129,15.067,2
Upper/X east,7490.0,2025-05-02 17:41:26.727,2025-05-02 17:43:25.725,118.998,11
Upper/X east,7490.0,2025-05-02 17:45:31.578,2025-05-02 17:47:31.400,119.822,10
Upper/X east,7490.0,2025-05-02 20:34:15.510,2025-05-02 20:38:25.840,250.33,17
Upper/X east,7490.0,2025-05-03 04:58:58.440,2025-05-03 04:59:23.666,25.226,3
Upper/X east,7490.0,2025-05-03 06:03:36.594,2025-05-03 06:05:11.745,95.151,5
Upper/X east,7490.0,2025-05-03 17:01:10.055,2025-05-03 17:01:33.090,23.035,3
Upper/X east,7490.0,2025-05-03 17:03:26.335,2025-05-03 17:06:02.625,156.29,14
Upper/X east,7490.0,2025-05-03 17:13:47.099,2025-05-03 17:16:06.939,139.84,13
Upper/X east,7490.0,2025-05-03 18:22:12.812,2025-05-03 18:23:00.796,47.984,4
Upper/X east,7490.0,2025-05-04 04:14:32.743,2025-05-04 04:14:46.725,13.982,2
Upper/X east,7490.0,2025-05-04 05:07:25.103,2025-05-04 05:07:49.509,24.406,3
Upper/X east,7490.0,2025-05-04 05:35:19.870,2025-05-04 05:36:22.665,62.795,4
Upper/X east,7490.0,2025-05-14 12:54:26.839,2025-05-14 12:55:03.848,37.009,2
Upper/X east,7490.0,2025-05-14 12:58:37.170,2025-05-14 12:58:53.071,15.901,2
Upper/X east,7490.0,2025-05-15 05:58:51.793,2025-05-15 05:59:27.992,36.199,4
Upper/X east,7490.0,2025-05-16 06:49:57.277,2025-05-16 06:50:09.071,11.794,2
Upper/X east,7490.0,2025-05-18 06:13:45.962,2025-05-18 06:13:58.274,12.312,2
Upper/X east,7490.0,2025-05-18 06:28:50.713,2025-05-18 06:29:15.108,24.395,3
Upper/X east,7490.0,2025-05-18 18:30:01.994,2025-05-18 18:30:38.182,36.188,4
Upper/X east,7490.0,2025-05-18 19:41:50.150,2025-05-18 19:42:14.281,24.131,3
Upper/X east,7490.0,2025-05-19 07:09:13.738,2025-05-19 07:09:38.141,24.403,2
Upper/X east,7490.0,2025-05-20 01:45:10.083,2025-05-20 01:45:46.270,36.187,3
Upper/X east,7490.0,2025-05-20 09:18:45.665,2025-05-20 09:19:10.072,24.407,3
Upper/X east,7490.0,2025-05-20 12:09:41.738,2025-05-20 12:12:05.953,144.215,12
Upper/X east,7490.0,2025-05-21 01:50:17.153,2025-05-21 01:50:29.213,12.06,2
Upper/X east,7490.0,2025-05-21 06:48:01.229,2025-05-21 06:48:12.744,11.515,2
Upper/X east,7490.0,2025-05-21 09:21:15.762,2025-05-21 09:21:52.233,36.471,4
Upper/X east,7490.0,2025-05-22 09:23:43.882,2025-05-22 09:23:55.936,12.054,2
Upper/X east,7490.0,2025-05-22 12:50:31.232,2025-05-22 12:50:42.475,11.243,2
Upper/X east,7490.0,2025-05-26 06:46:07.552,2025-05-26 06:46:44.017,36.465,3
Upper/X east,7490.0,2025-05-26 09:33:35.281,2025-05-26 09:33:47.624,12.343,2
Upper/X east,7490.0,2025-05-26 17:32:46.035,2025-05-26 17:33:10.167,24.132,3
Upper/X east,7490.0,2025-05-26 18:18:04.423,2025-05-26 18:18:20.328,15.905,2
Upper/X east,7490.0,2025-05-26 20:03:22.406,2025-05-26 20:03:47.363,24.957,3
Upper/X east,7490.0,2025-05-29 07:05:03.404,2025-05-29 07:05:51.659,48.255,5
Upper/X east,7490.0,2025-05-29 08:05:36.574,2025-05-29 08:05:48.380,11.806000000000001,2
Upper/X east,7490.0,2025-05-29 14:16:43.167,2025-05-29 14:16:55.225,12.058,2
